county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Madera,CHOWCHILLA UNION HIGH,46.42,41136,58423,78124,57930,Chowchilla Union High
Santa Barbara,HOPE ELEMENTARY,46.9,42920,78527,94835,75286,Hope Elementary
Tulare,TERRA BELLA UNION ELEMENTARY,48,46266,67739,80614,67138,Terra Bella Union Elementary
San Luis Obispo,COAST UNIFIED,49,44952,70064,82410,67427,Coast Unified
Modoc,MODOC JOINT UNIFIED,49,37614,52670,72230,51328,Modoc Joint Unified
Sonoma,BENNETT VALLEY UNION ELEMENTARY,50.3,45369,63087,83573,60262,Bennett Valley Union Elementary
El Dorado,MOTHER LODE UNION ELEMENTARY,50.6,34608,62322,70298,51606,Mother Lode Union Elementary
Kern,RIO BRAVO-GREELEY UN ELEMENTARY,50.84,40669,62183,70827,61778,Rio Bravo-Greeley Un Elementary
Yolo,ESPARTO UNIFIED,51.02,45285,64309,84080,62060,Esparto Unified
Stanislaus,HICKMAN ELEMENTARY,51.13,46719,72685,88502,64520,Hickman Elementary
Santa Barbara,SANTA YNEZ VALLEY UNION HIGH,51.3,45212,73818,88497,69633,Santa Ynez Valley Union High
Napa,CALISTOGA JOINT UNIFIED,51.5,58157,89375,108215,87815,Calistoga Joint Unified
Siskiyou,YREKA UNION ELEMENTARY,52,41178,57634,69518,58063,Yreka Union Elementary
Kern,EDISON ELEMENTARY,53,42031,59288,76010,59552,Edison Elementary
Butte,DURHAM UNIFIED,53.29,39130,65490,79893,53871,Durham Unified
Stanislaus,HART-RANSOM UNION ELEMENTARY,53.51,44739,68673,89878,67734,Hart-Ransom Union Elementary
Tehama,EVERGREEN UNION ELEMENTARY,54.03,45484,65926,84143,67160,Evergreen Union Elementary
Humboldt,FORTUNA UNION HIGH,54.2,38427,61991,72828,58408,Fortuna Union High
Fresno,KINGSBURG JOINT UNION HIGH,54.63,46545,75201,90916,68540,Kingsburg Joint Union High
Tulare,PIXLEY UNION ELEMENTARY,56,49172,64438,82332,65785,Pixley Union Elementary
Sutter,SUTTER COUNTY OFFICE OF ED.,56.2,34849,66208,85629,61407,Sutter County Office Of Ed.
